# Ghidra Function Export: client.dll
# Total functions: 1352
# Named (non-FUN_): 436
# Auto-named (FUN_): 916
# Thunks: 48
# External: 0
# Format: address | size | refs | calling_conv | flags | name
#====================================================================================================
10001080 |    244 |    1 | __thiscall   | -          | FUN_10001080
10001190 |     38 |    2 | __fastcall   | -          | FUN_10001190
100013a0 |    824 |    3 | __cdecl      | -          | FUN_100013a0
10001720 |   1873 |    4 | __cdecl      | -          | FUN_10001720
10001e80 |     25 |  357 | __thiscall   | -          | FUN_10001e80
10001ea0 |      1 |  531 | __thiscall   | -          | AnimateUntilDead
10001eb0 |    100 |    1 | __cdecl      | -          | FUN_10001eb0
10001f20 |    356 |    1 | __cdecl      | -          | FUN_10001f20
100020a0 |     49 |    1 | __cdecl      | -          | FUN_100020a0
100020e0 |    234 |    1 | __cdecl      | -          | FUN_100020e0
100021d0 |   1082 |   13 | __cdecl      | -          | FUN_100021d0
10002810 |     94 |   11 | __thiscall   | -          | FUN_10002810
10002870 |    115 |    5 | __thiscall   | -          | FUN_10002870
10002ae0 |    232 |   16 | __fastcall   | -          | FUN_10002ae0
10002e10 |     29 |   19 | __thiscall   | -          | operator=
10002e30 |     70 |    2 | __thiscall   | -          | Scheme
100031f0 |     78 |    2 | __thiscall   | -          | operator=
10003240 |     27 |    2 | __thiscall   | -          | Color
10003260 |     49 |    2 | __thiscall   | -          | operator=
100032a0 |    423 |    2 | __thiscall   | -          | Panel
10003450 |    479 |    2 | __thiscall   | -          | operator=
10003800 |    701 |    2 | __thiscall   | -          | Frame
10003ac0 |    751 |    2 | __thiscall   | -          | operator=
10003f60 |    441 |    2 | __thiscall   | -          | TextPanel
10004120 |    491 |    3 | __thiscall   | -          | operator=
10004310 |    513 |    2 | __thiscall   | -          | Label
10004520 |    635 |    2 | __thiscall   | -          | Button
100047a0 |    679 |    2 | __thiscall   | -          | operator=
10004b70 |      9 |    2 | __thiscall   | -          | ActionSignal
10004b80 |     11 |    2 | __thiscall   | -          | ActionSignal
10004b90 |      5 |    5 | __thiscall   | -          | operator=
10004ba0 |      9 |    2 | __thiscall   | -          | InputSignal
10004bb0 |     11 |    2 | __thiscall   | -          | InputSignal
10004bc0 |     64 |    2 | __thiscall   | -          | Image
10004c00 |    105 |    2 | __thiscall   | -          | operator=
10004c70 |      9 |    2 | __thiscall   | -          | InputStream
10004c80 |     11 |    2 | __thiscall   | -          | InputStream
10004fc0 |     25 |   80 | __thiscall   | -          | FUN_10004fc0
10004fe0 |     27 |    2 | __thiscall   | -          | FileInputStream
10005000 |     15 |    4 | __thiscall   | -          | operator=
10005010 |     88 |    2 | __thiscall   | -          | Bitmap
10005070 |     88 |    2 | __thiscall   | -          | BitmapTGA
100050d0 |    121 |    3 | __thiscall   | -          | operator=
10005150 |    465 |    2 | __thiscall   | -          | DesktopIcon
10005330 |    515 |    2 | __thiscall   | -          | operator=
10005540 |     39 |    2 | __thiscall   | -          | Cursor
10005570 |     50 |    2 | __thiscall   | -          | operator=
100058e0 |    369 |    2 | __thiscall   | -          | App
10005a60 |    420 |    2 | __thiscall   | -          | operator=
10005f40 |     21 |    2 | __thiscall   | -          | MiniApp
10005f60 |    108 |    2 | __thiscall   | -          | Border
10005fd0 |    132 |    2 | __thiscall   | -          | LineBorder
10006060 |    172 |    2 | __thiscall   | -          | operator=
10006110 |     13 |    2 | __thiscall   | -          | operator=
10006120 |    491 |    2 | __thiscall   | -          | ScrollPanel
10006310 |    568 |    2 | __thiscall   | -          | operator=
10006a50 |    509 |    2 | __thiscall   | -          | ScrollBar
10006c50 |    571 |    2 | __thiscall   | -          | operator=
10006e90 |    629 |    2 | __thiscall   | -          | Slider
10007110 |    682 |    2 | __thiscall   | -          | operator=
100073c0 |     33 |    2 | __thiscall   | -          | Font
100073f0 |     27 |    2 | __thiscall   | -          | operator=
10007f50 |     51 |   18 | __thiscall   | -          | FUN_10007f50
10007f90 |     51 |   19 | __thiscall   | -          | FUN_10007f90
10008130 |     25 |    4 | __thiscall   | -          | FUN_10008130
1000aa50 |    120 |    2 | __thiscall   | -          | Dar<char>
1000aad0 |    133 |    2 | __thiscall   | -          | Dar<char>
1000ab60 |    128 |    2 | __thiscall   | -          | ensureCapacity
1000abe0 |      3 |   19 | __thiscall   | -          | getCount
1000abf0 |    144 |    2 | __thiscall   | -          | addElement
1000ac80 |     38 |    2 | __thiscall   | -          | hasElement
1000acb0 |    175 |    2 | __thiscall   | -          | putElement
1000ad60 |    346 |    2 | __thiscall   | -          | insertElementAt
1000aec0 |     25 |    2 | __thiscall   | -          | setElementAt
1000aee0 |     47 |    2 | __thiscall   | -          | removeElementAt
1000af10 |     73 |    2 | __thiscall   | -          | removeElement
1000af60 |     26 |    2 | __thiscall   | -          | operator[]
1000af80 |    140 |   18 | __thiscall   | -          | Dar<int>
1000b010 |    135 |   18 | __thiscall   | -          | ensureCapacity
1000b0a0 |    362 |   18 | __thiscall   | -          | insertElementAt
1000b210 |     18 |   19 | __thiscall   | -          | setCount
1000b230 |     25 |   18 | __thiscall   | -          | setElementAt
1000b250 |    182 |   18 | __thiscall   | -          | putElement
1000b310 |    127 |   18 | __thiscall   | -          | Dar<int>
1000b390 |    151 |   18 | __thiscall   | -          | addElement
1000b430 |     44 |   18 | __thiscall   | -          | removeElementAt
1000b460 |     40 |   18 | __thiscall   | -          | hasElement
1000b490 |     72 |   18 | __thiscall   | -          | removeElement
1000b4e0 |      7 |   19 | __thiscall   | -          | removeAll
1000b4f0 |     26 |   18 | __thiscall   | -          | operator[]
1000b510 |     12 |    3 | __cdecl      | -          | weapon_beamgun
1000b520 |     12 |    2 | __cdecl      | -          | ball_lightning
1000b530 |     45 |    2 | __fastcall   | -          | FUN_1000b530
1000b560 |     28 |    2 | __fastcall   | -          | FUN_1000b560
1000b580 |     42 |    2 | __thiscall   | -          | FUN_1000b580
1000b5b0 |    128 |    1 | __fastcall   | -          | FUN_1000b5b0
1000b630 |    235 |    1 | __fastcall   | -          | FUN_1000b630
1000b980 |      7 |    2 | __stdcall    | -          | FUN_1000b980
1000bd20 |   2376 |    1 | __thiscall   | -          | FUN_1000bd20
1000c670 |    855 |    1 | __thiscall   | -          | FUN_1000c670
1000c9d0 |    197 |    1 | __fastcall   | -          | FUN_1000c9d0
1000caa0 |    115 |    3 | __fastcall   | -          | FUN_1000caa0
1000cb20 |   1212 |    2 | __thiscall   | -          | FUN_1000cb20
1000cfe0 |    193 |    1 | __fastcall   | -          | FUN_1000cfe0
1000d440 |     15 |    2 | __thiscall   | -          | SUB_CallUseToggle
1000d450 |    160 |    7 | __fastcall   | -          | FUN_1000d450
1000d4f0 |    969 |    1 | __fastcall   | -          | FUN_1000d4f0
1000d930 |      8 |    2 | __thiscall   | -          | CallMonsterThink
1000d940 |   1990 |    1 | __thiscall   | -          | FUN_1000d940
1000e130 |   1102 |    1 | __thiscall   | -          | FUN_1000e130
1000e580 |     12 |    2 | __cdecl      | -          | tracer
1000e6f0 |     80 |    1 | __fastcall   | -          | FUN_1000e6f0
1000e7a0 |   1583 |    3 | __thiscall   | -          | TrackTarget
1000ede0 |     33 |    1 | __fastcall   | -          | FUN_1000ede0
1000ee10 |    110 |    3 | __thiscall   | -          | TrackTouch
1000ee80 |     46 |    3 | __thiscall   | -          | DieTouch
1000eeb0 |      8 |    7 | __thiscall   | -          | LightningBugDie
1000eec0 |    326 |    1 | __fastcall   | -          | FUN_1000eec0
1000f010 |    182 |    1 | __stdcall    | -          | FUN_1000f010
1000f310 |    165 |    1 | __fastcall   | -          | FUN_1000f310
1000f3c0 |    623 |    3 | __thiscall   | -          | LightningTouch
1000f630 |    872 |    3 | __thiscall   | -          | MoveThink
1000f9d0 |     12 |    2 | __cdecl      | -          | lightning_bug
1000fc60 |     56 |    1 | __fastcall   | -          | FUN_1000fc60
1000fcf0 |     54 |    1 | __fastcall   | -          | FUN_1000fcf0
1000fd30 |   1857 |    3 | __thiscall   | -          | TrackTargetBug
10010480 |    265 |    3 | __thiscall   | -          | DieTouchBug
10010590 |     86 |    1 | __stdcall    | -          | FUN_10010590
100105f0 |     12 |    2 | __cdecl      | -          | ammo_beamgunclip
10010600 |     12 |    4 | __cdecl      | -          | cust_1BeamFrequency
100108c0 |     79 |    1 | __cdecl      | -          | FUN_100108c0
10010a00 |     48 |   40 | __fastcall   | -          | FUN_10010a00
10010c40 |     79 |    2 | __cdecl      | -          | FUN_10010c40
10010ce0 |     19 |   12 | __fastcall   | -          | FUN_10010ce0
10010df0 |     79 |    1 | __cdecl      | -          | FUN_10010df0
10010e50 |     79 |    2 | __cdecl      | -          | FUN_10010e50
10010ea0 |     83 |    1 | __cdecl      | -          | FUN_10010ea0
10010f10 |     41 |    1 | __fastcall   | -          | FUN_10010f10
10010fd0 |     79 |    1 | __cdecl      | -          | FUN_10010fd0
10011030 |     42 |    4 | __stdcall    | -          | FUN_10011030
10011060 |     12 |    2 | __cdecl      | -          | laser_spot
10011070 |     12 |    2 | __cdecl      | -          | dml_cluster
10011080 |     47 |    1 | __stdcall    | -          | FUN_10011080
100110b0 |    106 |    1 | __fastcall   | -          | FUN_100110b0
10011120 |     26 |    2 | __thiscall   | -          | Revive
10011150 |     47 |    3 | __stdcall    | -          | FUN_10011150
100112c0 |    135 |    1 | __fastcall   | -          | FUN_100112c0
10011350 |    167 |    3 | __thiscall   | -          | ClusterDetonate
10011400 |    473 |    3 | __thiscall   | -          | TumbleClusterThink
100115e0 |    531 |    1 | __thiscall   | -          | FUN_100115e0
10011800 |    271 |    3 | __thiscall   | -          | ClusterSmokeThink
10011910 |     12 |    3 | __cdecl      | -          | weapon_dml
10011920 |    177 |    1 | __fastcall   | -          | FUN_10011920
10011c60 |    139 |    1 | __fastcall   | -          | FUN_10011c60
10011e90 |    426 |    1 | __fastcall   | -          | FUN_10011e90
10012050 |    419 |    2 | __fastcall   | -          | FUN_10012050
10012200 |     63 |    1 | __fastcall   | -          | FUN_10012200
10012240 |    312 |    1 | __fastcall   | -          | FUN_10012240
10012380 |    157 |    3 | __stdcall    | -          | FUN_10012380
10012420 |   1575 |    4 | __fastcall   | -          | FUN_10012420
10012f00 |    262 |    3 | __fastcall   | -          | FUN_10012f00
10013010 |    588 |    5 | __thiscall   | -          | FUN_10013010
10013260 |    732 |    1 | __thiscall   | -          | FUN_10013260
10013540 |   1748 |    1 | __thiscall   | -          | FUN_10013540
10013c20 |     55 |    6 | __thiscall   | -          | FUN_10013c20
10013c60 |     12 |    2 | __cdecl      | -          | ammo_dmlsingle
10013c70 |     12 |    2 | __cdecl      | -          | ammo_dmlclip
10013c80 |     12 |    5 | __cdecl      | -          | cust_1DMLLaunch
10013fa0 |     76 |    2 | __cdecl      | -          | FUN_10013fa0
10014000 |     79 |    2 | __cdecl      | -          | FUN_10014000
10014050 |     79 |    1 | __cdecl      | -          | FUN_10014050
100140a0 |     83 |    1 | __cdecl      | -          | FUN_100140a0
10014100 |     41 |    1 | __fastcall   | -          | FUN_10014100
100141f0 |     83 |    1 | __cdecl      | -          | FUN_100141f0
10014250 |     41 |    1 | __fastcall   | -          | FUN_10014250
10014340 |     79 |    1 | __cdecl      | -          | FUN_10014340
100143b0 |     12 |    2 | __cdecl      | -          | monster_tripmine
100143c0 |     12 |    2 | __cdecl      | -          | DmlHandGrenade
100143d0 |     12 |    2 | __cdecl      | -          | weapon_dmlGrenade
100143e0 |    407 |    1 | __cdecl      | -          | FUN_100143e0
10014580 |     41 |    1 | __fastcall   | -          | FUN_10014580
100145b0 |     47 |    1 | __fastcall   | -          | FUN_100145b0
100145e0 |    169 |    3 | __thiscall   | -          | DmlGrenExplodeTouch
10014690 |    979 |    2 | __thiscall   | -          | FUN_10014690
10014a70 |    334 |    3 | __thiscall   | -          | DmlHandGrenTumbleThink
10014bc0 |    167 |    3 | __thiscall   | -          | DmlHandGrenDetonate
10014c70 |   2089 |    2 | __fastcall   | -          | FUN_10014c70
100154a0 |    146 |    1 | __fastcall   | -          | FUN_100154a0
10015540 |    241 |    1 | __fastcall   | -          | FUN_10015540
100156a0 |    180 |    1 | __fastcall   | -          | FUN_100156a0
10015800 |    204 |    1 | __fastcall   | -          | FUN_10015800
10016890 |    982 |    2 | __fastcall   | -          | FUN_10016890
10016f00 |     55 |    3 | __thiscall   | -          | TripmineTouch
10016f40 |     30 |    2 | __thiscall   | -          | WarningThink
10016f60 |   1222 |    4 | __thiscall   | -          | PowerupThink
10017430 |     34 |    4 | __fastcall   | -          | FUN_10017430
10017460 |    672 |    2 | __fastcall   | -          | FUN_10017460
10017700 |    416 |    3 | __thiscall   | -          | BeamBreakThink
10017910 |    130 |    1 | __thiscall   | -          | FUN_10017910
100179a0 |    243 |    3 | __thiscall   | -          | DelayDeathThink
10017aa0 |    979 |    1 | __thiscall   | -          | FUN_10017aa0
10017e80 |   1110 |    1 | __fastcall   | -          | FUN_10017e80
100182e0 |     12 |    3 | __cdecl      | -          | cust_1DMLGrenDetonate
100184f0 |    205 |    1 | __cdecl      | -          | FUN_100184f0
100185c0 |     15 |    1 | __cdecl      | -          | FUN_100185c0
100185d0 |     79 |    2 | __cdecl      | -          | FUN_100185d0
10018620 |     79 |    1 | __cdecl      | -          | FUN_10018620
10018670 |     79 |    1 | __cdecl      | -          | FUN_10018670
100186d0 |      9 |    1 | __fastcall   | -          | FUN_100186d0
100186e0 |     12 |    2 | __cdecl      | -          | weapon_fists
100186f0 |    112 |    1 | __fastcall   | -          | FUN_100186f0
10018760 |    240 |    1 | __fastcall   | -          | FUN_10018760
10018940 |    573 |    1 | __cdecl      | -          | FUN_10018940
10018b80 |     78 |    1 | __fastcall   | -          | FUN_10018b80
10018bd0 |      8 |    3 | __thiscall   | -          | SwingAgain
10018be0 |   1959 |    2 | __fastcall   | -          | FUN_10018be0
10019390 |     51 |    1 | __thiscall   | -          | FUN_10019390
10019650 |     93 |    1 | __thiscall   | -          | FUN_10019650
100197a0 |     12 |    3 | __cdecl      | -          | cust_1fistsKnife
100197b0 |     58 |    1 | __fastcall   | -          | FUN_100197b0
10019860 |     79 |    1 | __cdecl      | -          | FUN_10019860
100198b0 |     79 |    1 | __cdecl      | -          | FUN_100198b0
10019900 |     12 |    2 | __cdecl      | -          | entity_null
10019a00 |     50 |    3 | __thiscall   | -          | WaitThink
10019a40 |    314 |    3 | __thiscall   | -          | LazerThink
10019b80 |     43 |    3 | __thiscall   | -          | RemoveThink
10019bb0 |     98 |    1 | __stdcall    | -          | FUN_10019bb0
10019c20 |    712 |    1 | __cdecl      | -          | FUN_10019c20
1001a090 |     95 |    3 | __thiscall   | -          | Animate
1001a0f0 |    500 |    3 | __thiscall   | -          | FastShotTouch
1001a2f0 |     73 |    1 | __fastcall   | -          | FUN_1001a2f0
1001a340 |    278 |    1 | __stdcall    | -          | FUN_1001a340
1001a5f0 |    309 |    3 | __thiscall   | -          | ThrowSparks
1001a730 |    473 |    3 | __thiscall   | -          | BoltTouch
1001a910 |    134 |    2 | __thiscall   | -          | FUN_1001a910
1001a9a0 |     77 |    1 | __fastcall   | -          | FUN_1001a9a0
1001aaf0 |     80 |    3 | __thiscall   | -          | AnimateGlow
1001ad10 |     54 |    1 | __fastcall   | -          | FUN_1001ad10
1001ad50 |     80 |    4 | __thiscall   | -          | RemoveBall
1001ada0 |    263 |    3 | __thiscall   | -          | TumbleClusterThink
1001aeb0 |      8 |    3 | __thiscall   | -          | BallBounceTouch
1001aec0 |     12 |    2 | __cdecl      | -          | gauss_charged
1001aed0 |     12 |    2 | __cdecl      | -          | gauss_glow
1001aee0 |     12 |    2 | __cdecl      | -          | gauss_ball
1001aef0 |     12 |    2 | __cdecl      | -          | guass_bolt
1001af00 |     12 |    3 | __cdecl      | -          | weapon_gausspistol
1001af10 |    114 |    1 | __fastcall   | -          | FUN_1001af10
1001af90 |    341 |    1 | __fastcall   | -          | FUN_1001af90
1001b320 |    162 |    1 | __fastcall   | -          | FUN_1001b320
1001b3d0 |    156 |    1 | __fastcall   | -          | FUN_1001b3d0
1001b470 |    401 |    1 | __fastcall   | -          | FUN_1001b470
1001b610 |    370 |    1 | __fastcall   | -          | FUN_1001b610
1001b790 |    418 |    1 | __fastcall   | -          | FUN_1001b790
1001b940 |    395 |    1 | __fastcall   | -          | FUN_1001b940
1001bad0 |   1261 |    1 | __fastcall   | -          | FUN_1001bad0
1001bfc0 |    275 |    2 | __fastcall   | -          | FUN_1001bfc0
1001c0e0 |    677 |    1 | __cdecl      | -          | FUN_1001c0e0
1001c6e0 |     12 |    2 | __cdecl      | -          | ammo_gaussclip
1001c6f0 |     12 |    2 | __cdecl      | -          | cust_1GaussPistolFireType
1001c700 |     65 |    1 | __fastcall   | -          | FUN_1001c700
1001c7c0 |     12 |    3 | __cdecl      | -          | cust_2GaussPistolSniper
1001c7d0 |    115 |    1 | __fastcall   | -          | FUN_1001c7d0
