# Ghidra Function Export: gunman.dll
# Total functions: 2638
# Named (non-FUN_): 801
# Auto-named (FUN_): 1837
# Thunks: 2
# External: 0
# Format: address | size | refs | calling_conv | flags | name
#====================================================================================================
10001000 |     79 |    4 | __cdecl      | -          | item_airtank
100010c0 |    227 |    1 | __fastcall   | -          | FUN_100010c0
10001230 |     21 |    3 | __thiscall   | -          | TankThink
10001250 |    194 |    3 | __thiscall   | -          | TankTouch
10001320 |     42 |   63 | __stdcall    | -          | FUN_10001320
10001350 |     25 |  593 | __thiscall   | -          | FUN_10001350
10001370 |     25 | 1656 | __thiscall   | -          | FUN_10001370
100014c0 |     48 |  332 | __fastcall   | -          | FUN_100014c0
100015d0 |     32 |  252 | __thiscall   | -          | FUN_100015d0
10001610 |     15 |    5 | __thiscall   | -          | SUB_CallUseToggle
10001790 |      3 |  154 | __fastcall   | -          | FUN_10001790
100017c0 |      8 |    3 | __thiscall   | -          | CallMonsterThink
100017e0 |     19 |  151 | __fastcall   | -          | FUN_100017e0
100019d0 |     48 |    2 | __thiscall   | -          | FUN_100019d0
10001a00 |     48 |    2 | __thiscall   | -          | FUN_10001a00
10001a30 |    297 |   42 | __thiscall   | -          | FUN_10001a30
10001b60 |     41 |   38 | __thiscall   | -          | FUN_10001b60
10001b90 |     41 |    1 | __thiscall   | -          | FUN_10001b90
10001bc0 |     33 |   32 | __thiscall   | -          | FUN_10001bc0
10001bf0 |     33 |    2 | __thiscall   | -          | FUN_10001bf0
10001c20 |     33 |    2 | __thiscall   | -          | FUN_10001c20
10001c50 |    101 |   73 | __fastcall   | -          | FUN_10001c50
10001cc0 |     34 |    1 | __fastcall   | -          | FUN_10001cc0
10001cf0 |    268 |    2 | __fastcall   | -          | FUN_10001cf0
10001e00 |     46 |   20 | __thiscall   | -          | FUN_10001e00
10001e30 |     92 |    7 | __fastcall   | -          | FUN_10001e30
10001e90 |     46 |    7 | __thiscall   | -          | FUN_10001e90
10001ec0 |     37 |    2 | __thiscall   | -          | FUN_10001ec0
10001ef0 |     37 |   39 | __thiscall   | -          | FUN_10001ef0
10001f90 |     42 |   33 | __thiscall   | -          | FUN_10001f90
10001fc0 |     37 |    1 | __thiscall   | -          | FUN_10001fc0
10001ff0 |     46 |    1 | __thiscall   | -          | FUN_10001ff0
10002020 |    401 |    1 | __fastcall   | -          | FUN_10002020
100021c0 |     82 |    1 | __cdecl      | -          | FUN_100021c0
10002220 |    115 |    1 | __cdecl      | -          | FUN_10002220
100022a0 |     79 |    1 | __cdecl      | -          | FUN_100022a0
100022f0 |     47 |    1 | __cdecl      | -          | FUN_100022f0
10002320 |     91 |    2 | __cdecl      | -          | FUN_10002320
10002380 |     28 |    1 | __cdecl      | -          | FUN_10002380
100023a0 |     30 |    1 | __cdecl      | -          | FUN_100023a0
100023c0 |     27 |    1 | __cdecl      | -          | FUN_100023c0
100023e0 |    212 |    2 | __cdecl      | -          | FUN_100023e0
100024c0 |    184 |    2 | __cdecl      | -          | FUN_100024c0
10002580 |     53 |    1 | __cdecl      | -          | FUN_10002580
100025c0 |    329 |    2 | __cdecl      | -          | FUN_100025c0
10002710 |    366 |   16 | __cdecl      | -          | FUN_10002710
10002880 |    319 |    1 | __cdecl      | -          | FUN_10002880
10002ad0 |     93 |    1 | __cdecl      | -          | FUN_10002ad0
10002b30 |     81 |    1 | __cdecl      | -          | FUN_10002b30
10002b90 |    103 |    7 | __cdecl      | -          | FUN_10002b90
10002c00 |     76 |    2 | __cdecl      | -          | func_wall
10002c60 |    121 |    4 | __fastcall   | -          | FUN_10002c60
10002ce0 |     59 |    1 | __thiscall   | -          | FUN_10002ce0
10002d20 |     76 |    2 | __cdecl      | -          | func_wall_toggle
10002d70 |     29 |    1 | __fastcall   | -          | FUN_10002d70
10002d90 |     48 |    2 | __fastcall   | -          | FUN_10002d90
10002dc0 |     48 |    1 | __fastcall   | -          | FUN_10002dc0
10002df0 |     19 |    1 | __fastcall   | -          | FUN_10002df0
10002e10 |     54 |    1 | __thiscall   | -          | FUN_10002e10
10002e50 |     76 |    2 | __cdecl      | -          | func_conveyor
10002ea0 |    121 |    1 | __fastcall   | -          | FUN_10002ea0
10002f20 |    116 |    2 | __thiscall   | -          | FUN_10002f20
10002fd0 |     79 |    2 | __cdecl      | -          | func_illusionary
10003030 |    122 |    1 | __thiscall   | -          | FUN_10003030
10003110 |     76 |    2 | __cdecl      | -          | func_monsterclip
10003170 |     63 |    1 | __fastcall   | -          | FUN_10003170
10003210 |     76 |    2 | __cdecl      | -          | func_rotating
100036c0 |    369 |    1 | __fastcall   | -          | FUN_100036c0
10003850 |    345 |    3 | __thiscall   | -          | HurtTouch
100039b0 |    255 |    2 | __fastcall   | -          | FUN_100039b0
10003ab0 |    443 |    4 | __thiscall   | -          | SpinUp
10003c70 |    460 |    3 | __thiscall   | -          | SpinDown
10003e40 |     22 |    8 | __thiscall   | -          | Rotate
10003e60 |    373 |    3 | __thiscall   | -          | RotatingUse
10004000 |     76 |    2 | __cdecl      | -          | func_pendulum
10004380 |    260 |    3 | __thiscall   | -          | PendulumUse
100044f0 |     74 |    3 | __thiscall   | -          | Stop
10004580 |    461 |    3 | __thiscall   | -          | Swing
100048b0 |    123 |    3 | __thiscall   | -          | RopeTouch
100049e0 |     76 |    2 | __cdecl      | -          | env_global
10004b40 |     88 |    1 | __fastcall   | -          | FUN_10004b40
10004ba0 |    128 |    1 | __fastcall   | -          | FUN_10004ba0
10004c80 |     79 |    2 | __cdecl      | -          | multisource
10005020 |    297 |    3 | __thiscall   | -          | Register
100051b0 |    625 |    2 | __fastcall   | -          | FUN_100051b0
100056a0 |    208 |    2 | __thiscall   | -          | FUN_100056a0
10005770 |     79 |    2 | __cdecl      | -          | func_button
10005a30 |    136 |    7 | __cdecl      | -          | FUN_10005a30
10005b20 |    449 |    2 | __cdecl      | -          | FUN_10005b20
10005d00 |     66 |    5 | __thiscall   | -          | ButtonSpark
10005d50 |    137 |    4 | __thiscall   | -          | ButtonUse
10005de0 |     84 |    2 | __fastcall   | -          | FUN_10005de0
10005e40 |    281 |    6 | __thiscall   | -          | ButtonTouch
10005f60 |    222 |    3 | __fastcall   | -          | FUN_10005f60
10006040 |    148 |    3 | __thiscall   | -          | TriggerAndWait
100060e0 |    122 |    6 | __thiscall   | -          | ButtonReturn
10006160 |    321 |    3 | __thiscall   | -          | ButtonBackHome
100062b0 |     79 |    2 | __cdecl      | -          | func_rot_button
10006570 |     79 |    2 | __cdecl      | -          | momentary_rot_button
100068d0 |     58 |    1 | __fastcall   | -          | FUN_100068d0
10006910 |     84 |    1 | __fastcall   | -          | FUN_10006910
10006970 |    187 |    2 | __thiscall   | -          | FUN_10006970
10006a30 |    375 |    1 | __thiscall   | -          | FUN_10006a30
10006bb0 |    111 |    2 | __thiscall   | -          | FUN_10006bb0
10006c20 |    117 |    3 | __thiscall   | -          | Off
10006ca0 |     84 |    3 | __thiscall   | -          | Return
10006d00 |    212 |    1 | __thiscall   | -          | FUN_10006d00
10006e40 |     76 |    2 | __cdecl      | -          | env_spark
10006e90 |     76 |    2 | __cdecl      | -          | env_debris
10006ee0 |    130 |    1 | __fastcall   | -          | FUN_10006ee0
10006fe0 |    436 |    1 | __thiscall   | -          | FUN_10006fe0
100071a0 |     56 |    5 | __thiscall   | -          | SparkThink
100071e0 |     59 |    4 | __thiscall   | -          | SparkStart
10007220 |     17 |    4 | __thiscall   | -          | SparkStop
10007240 |     76 |    2 | __cdecl      | -          | button_target
10007290 |    101 |    1 | __fastcall   | -          | FUN_10007290
10007300 |    115 |    1 | __thiscall   | -          | FUN_10007300
100073e0 |     44 |    2 | __cdecl      | -          | GetEntityAPI
10007410 |     52 |    2 | __cdecl      | -          | GetEntityAPI2
10007450 |    431 |    7 | __cdecl      | -          | FUN_10007450
10007600 |     62 |    1 | __cdecl      | -          | FUN_10007600
10007640 |     89 |    2 | __cdecl      | -          | FUN_10007640
10007790 |     44 |    2 | __cdecl      | -          | FUN_10007790
10007890 |    172 |    1 | __cdecl      | -          | FUN_10007890
10007d50 |     28 |    3 | __fastcall   | -          | FUN_10007d50
10007d90 |     16 |  110 | __fastcall   | -          | FUN_10007d90
10007da0 |     48 |  109 | __thiscall   | -          | FUN_10007da0
10007dd0 |     12 |  215 | __fastcall   | -          | FUN_10007dd0
10007de0 |     16 |  224 | __fastcall   | -          | FUN_10007de0
10007df0 |    109 |  181 | __thiscall   | -          | FUN_10007df0
10007e60 |    934 |  176 | __thiscall   | -          | FUN_10007e60
10008210 |     51 |   81 | __thiscall   | -          | FUN_10008210
10008250 |     51 |   99 | __thiscall   | -          | FUN_10008250
10008290 |     33 |   73 | __fastcall   | -          | FUN_10008290
100082c0 |     36 |  181 | __fastcall   | -          | FUN_100082c0
10008340 |     60 |   99 | __thiscall   | -          | FUN_10008340
10008380 |    238 |   99 | __thiscall   | -          | FUN_10008380
10008470 |    456 |    2 | __cdecl      | -          | FUN_10008470
10008650 |    137 |    1 | __thiscall   | -          | FUN_10008650
100086e0 |     90 |    2 | __fastcall   | -          | FUN_100086e0
10008740 |     15 |    1 | __fastcall   | -          | FUN_10008740
10008840 |     44 |   19 | __stdcall    | -          | FUN_10008840
10008870 |     46 |  331 | __fastcall   | -          | FUN_10008870
100088a0 |    157 |   40 | __cdecl      | -          | FUN_100088a0
10008ab0 |    159 |    1 | __cdecl      | -          | FUN_10008ab0
10008d10 |    760 |    2 | __cdecl      | -          | FUN_10008d10
10009010 |   1346 |    1 | __cdecl      | -          | FUN_10009010
10009730 |    154 |    1 | __cdecl      | -          | FUN_10009730
100098a0 |   1133 |    1 | __stdcall    | -          | FUN_100098a0
10009ef0 |   1063 |    1 | __cdecl      | -          | FUN_10009ef0
1000a330 |    413 |    1 | __cdecl      | -          | FUN_1000a330
1000a4d0 |    112 |    1 | __cdecl      | -          | FUN_1000a4d0
1000a6a0 |     61 |    1 | __cdecl      | -          | FUN_1000a6a0
1000a7c0 |    166 |    1 | __cdecl      | -          | FUN_1000a7c0
1000ae10 |     79 |    1 | __cdecl      | -          | FUN_1000ae10
1000ae60 |      9 |   16 | __fastcall   | -          | FUN_1000ae60
1000ae80 |    281 |    3 | __cdecl      | -          | FUN_1000ae80
1000afa0 |    251 |    3 | __fastcall   | -          | FUN_1000afa0
1000b960 |   1162 |    2 | __cdecl      | -          | FUN_1000b960
1000bdf0 |      3 |   26 | __fastcall   | -          | FUN_1000bdf0
1000bf50 |   1225 |  136 | __fastcall   | -          | FUN_1000bf50
1000c440 |    703 |  150 | __fastcall   | -          | FUN_1000c440
1000c700 |    108 |    1 | __fastcall   | -          | FUN_1000c700
1000c790 |     26 |    1 | __fastcall   | -          | FUN_1000c790
1000c7f0 |     48 |    2 | __thiscall   | -          | FUN_1000c7f0
1000c820 |    297 |    2 | __fastcall   | -          | FUN_1000c820
1000c950 |    261 |   97 | __thiscall   | -          | FUN_1000c950
1000ca60 |   1453 |   49 | __thiscall   | -          | FUN_1000ca60
1000d010 |    111 |    8 | __thiscall   | -          | SUB_StartFadeOut
1000d080 |    104 |    3 | __thiscall   | -          | SUB_FadeOut
1000d0f0 |    164 |    3 | __thiscall   | -          | WaitTillLand
1000d1a0 |    270 |    3 | __thiscall   | -          | GibSmokeThink
1000d2b0 |     91 |    2 | __thiscall   | -          | FUN_1000d2b0
1000d310 |    443 |    3 | __thiscall   | -          | BounceGibTouch
1000d4d0 |    473 |    2 | __thiscall   | -          | StickyGibTouch
1000d6b0 |    280 |    9 | __thiscall   | -          | FUN_1000d6b0
1000d7d0 |     71 |  152 | __thiscall   | -          | FUN_1000d7d0
1000d820 |   1594 |  114 | __thiscall   | -          | FUN_1000d820
1000de60 |    529 |    1 | __thiscall   | -          | FUN_1000de60
1000e080 |    119 |    1 | __thiscall   | -          | FUN_1000e080
1000e100 |     52 |   13 | __stdcall    | -          | FUN_1000e100
1000e140 |    693 |   21 | __cdecl      | -          | FUN_1000e140
1000e400 |     51 |   67 | __thiscall   | -          | FUN_1000e400
1000e440 |    134 |   58 | __thiscall   | -          | FUN_1000e440
1000e4d0 |     67 |   10 | __thiscall   | -          | FUN_1000e4d0
1000e520 |     65 |    1 | __stdcall    | -          | FUN_1000e520
1000e570 |    452 |    9 | __thiscall   | -          | FUN_1000e570
1000e740 |    961 |   11 | __thiscall   | -          | FUN_1000e740
1000ee80 |    244 |  179 | __thiscall   | -          | FUN_1000ee80
1000ef80 |    230 |  141 | __thiscall   | -          | FUN_1000ef80
1000f090 |   2220 |   13 | __thiscall   | -          | FUN_1000f090
1000f960 |    504 |  182 | __thiscall   | -          | FUN_1000f960
1000fb60 |    378 |  151 | __thiscall   | -          | FUN_1000fb60
1000ff20 |      9 |   12 | __fastcall   | -          | FUN_1000ff20
1000ff40 |     20 |  143 | __thiscall   | -          | FUN_1000ff40
1000ff60 |    143 |   20 | __thiscall   | -          | FUN_1000ff60
1000fff0 |    544 |  136 | __thiscall   | -          | FUN_1000fff0
10010350 |    534 |    6 | __cdecl      | -          | FUN_10010350
100108c0 |     79 |    2 | __cdecl      | -          | func_door
10010920 |     79 |    2 | __cdecl      | -          | func_water
10010b80 |   1167 |    2 | __fastcall   | -          | FUN_10010b80
100110b0 |    206 |    6 | __thiscall   | -          | DoorTouch
100111c0 |    184 |    2 | __fastcall   | -          | FUN_100111c0
10011280 |    622 |    5 | __thiscall   | -          | DoorGoUp
100114f0 |    291 |    3 | __thiscall   | -          | DoorHitTop
10011620 |    223 |    6 | __thiscall   | -          | DoorGoDown
10011700 |    248 |    3 | __thiscall   | -          | DoorHitBottom
10011b30 |     79 |    2 | __cdecl      | -          | func_door_rotating
10011e50 |     79 |    2 | __cdecl      | -          | momentary_door
10011f10 |    420 |    1 | __fastcall   | -          | FUN_10011f10
100120c0 |    314 |    1 | __fastcall   | -          | FUN_100120c0
100124f0 |     76 |    2 | __cdecl      | -          | info_target
10012540 |     76 |    2 | __cdecl      | -          | env_bubbles
10012710 |     22 |    1 | __fastcall   | -          | FUN_10012710
10012730 |     92 |    1 | __thiscall   | -          | FUN_10012730
100128b0 |    176 |    4 | __thiscall   | -          | FizzThink
10012960 |     76 |    2 | __cdecl      | -          | beam
10012a60 |     67 |    2 | __fastcall   | -          | FUN_10012a60
10012ab0 |     66 |    3 | __thiscall   | -          | FUN_10012ab0
10012b00 |     66 |    4 | __thiscall   | -          | FUN_10012b00
10012b50 |     49 |    5 | __fastcall   | -          | FUN_10012b50
10012b90 |     67 |    4 | __fastcall   | -          | FUN_10012b90
10012be0 |    116 |   10 | __cdecl      | -          | FUN_10012be0
10012c60 |    190 |    3 | __thiscall   | -          | FUN_10012c60
10012d20 |    114 |    6 | __thiscall   | -          | FUN_10012d20
10012e20 |    115 |    4 | __thiscall   | -          | FUN_10012e20
10012ea0 |    101 |    3 | __thiscall   | -          | FUN_10012ea0
10012f10 |    410 |   11 | __fastcall   | -          | FUN_10012f10
100130b0 |     92 |    2 | __thiscall   | -          | TriggerTouch
10013110 |     82 |    4 | __stdcall    | -          | FUN_10013110
10013170 |     62 |    4 | __thiscall   | -          | FUN_10013170
100131b0 |     76 |    2 | __cdecl      | -          | env_lightning
10013200 |     76 |    2 | __cdecl      | -          | env_beam
100132b0 |    275 |    1 | __fastcall   | -          | FUN_100132b0
100137d0 |    174 |    4 | __thiscall   | -          | ToggleUse
10013880 |     89 |    3 | __thiscall   | -          | StrikeUse
100138e0 |    224 |    6 | __cdecl      | -          | FUN_100138e0
100139c0 |    933 |    4 | __thiscall   | -          | StrikeThink
10013d70 |    270 |    3 | __thiscall   | -          | FUN_10013d70
10013e80 |     78 |    3 | __thiscall   | -          | DamageThink
10013ed0 |    296 |    2 | __thiscall   | -          | FUN_10013ed0
10014000 |   1086 |    1 | __fastcall   | -          | FUN_10014000
10014440 |    479 |    1 | __thiscall   | -          | FUN_10014440
10014830 |     76 |    2 | __cdecl      | -          | env_laser
100148e0 |    347 |    1 | __fastcall   | -          | FUN_100148e0
10014a40 |     76 |    1 | __fastcall   | -          | FUN_10014a40
10014d80 |     17 |    1 | __fastcall   | -          | FUN_10014d80
10014da0 |     44 |    9 | __fastcall   | -          | FUN_10014da0
10014dd0 |     69 |    5 | __fastcall   | -          | FUN_10014dd0
10014e20 |     54 |    1 | __thiscall   | -          | FUN_10014e20
10014e60 |     86 |    4 | __thiscall   | -          | FUN_10014e60
10014ec0 |    134 |    3 | __thiscall   | -          | StrikeThink
10014f50 |     76 |    2 | __cdecl      | -          | env_glow
10015150 |     48 |    1 | __fastcall   | -          | FUN_10015150
10015180 |     76 |    2 | __cdecl      | -          | env_sprite
10015330 |    130 |    1 | __fastcall   | -          | FUN_10015330
100153c0 |     62 |    1 | __thiscall   | -          | FUN_100153c0
10015400 |    156 |   37 | __cdecl      | -          | FUN_10015400
100154a0 |     69 |    4 | __thiscall   | -          | AnimateThink
100154f0 |     63 |   13 | __thiscall   | -          | AnimateUntilDead
10015530 |     63 |    4 | __thiscall   | -          | FUN_10015530
10015570 |    127 |    3 | __thiscall   | -          | ExpandThink
100155f0 |     97 |    1 | __thiscall   | -          | FUN_100155f0
10015660 |     27 |    4 | __fastcall   | -          | FUN_10015660
10015680 |    119 |   17 | __fastcall   | -          | FUN_10015680
10015700 |     69 |    1 | __thiscall   | -          | FUN_10015700
100157b0 |     76 |    2 | __cdecl      | -          | gibshooter
10015850 |    355 |    2 | __thiscall   | -          | FUN_10015850
100159e0 |    113 |    2 | __fastcall   | -          | FUN_100159e0
10015b60 |    970 |    3 | __thiscall   | -          | ShootThink
10015f30 |     76 |    2 | __cdecl      | -          | env_shooter
100160f0 |    296 |    1 | __fastcall   | -          | FUN_100160f0
10016220 |     79 |    2 | __cdecl      | -          | test_effect
10016290 |    695 |    3 | __thiscall   | -          | TestThink
10016580 |     76 |    2 | __cdecl      | -          | env_blood
10016700 |     83 |    3 | __thiscall   | -          | FUN_10016700
10016760 |    262 |    3 | __thiscall   | -          | FUN_10016760
10016a00 |     76 |    2 | __cdecl      | -          | env_shake
10016c50 |     76 |    2 | __cdecl      | -          | env_fade
10016da0 |    194 |    1 | __thiscall   | -          | FUN_10016da0
10016e70 |     76 |    2 | __cdecl      | -          | env_message
10016ec0 |    131 |    1 | __fastcall   | -          | FUN_10016ec0
100170b0 |    249 |    1 | __thiscall   | -          | FUN_100170b0
100171b0 |     22 |    1 | __fastcall   | -          | FUN_100171b0
100171d0 |     76 |    2 | __cdecl      | -          | env_funnel
100172b0 |     36 |    1 | __fastcall   | -          | FUN_100172b0
10017300 |     76 |    2 | __cdecl      | -          | env_beverage
10017350 |    165 |    1 | __fastcall   | -          | FUN_10017350
10017400 |     75 |    1 | __fastcall   | -          | FUN_10017400
